LOG_ITEM_ID,ITEM_KEY,TIME_LOG_CREATED_UTC,PAYLOAD
e93fedcb68693d6b8425c7340c245de8,7581487f9a0d33775d570f020b0e4141,2022-12-23 09:00:00.859 Z,"{
  ""brand_name"": ""Yogurette"",
  ""item_category"": ""Chocolate"",
  ""item_key"": ""7581487f9a0d33775d570f020b0e4141"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Yogurette Erdbeere Joghurtschokolade, 100 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Yogurette Strawberry Yogurt Chocolate, 100 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": 1.16,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2020-10-20 20:10:11.731"",
  ""weight_in_grams"": 100
}"
9e90ea8f6d66d6135f33db9589814ae7,9f8bd236cf455c9fa6a5fb11146b9368,2023-12-29 15:33:41.864 Z,"{
  ""brand_name"": null,
  ""item_category"": ""Toffee, Fudge & Nougat"",
  ""item_key"": ""9f8bd236cf455c9fa6a5fb11146b9368"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Muh Muhs Original Sahne Toffee, 215 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Muh Muhs Original cream toffee, 215 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": 2.32,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2020-09-22 04:34:56.480"",
  ""weight_in_grams"": 215
}"
e16f280b891a7e233ff79353fba858dd,2894f60b88078fb5b58fbf8dab0dbc63,2023-12-20 02:58:34.081 Z,"{
  ""brand_name"": ""Ferrero"",
  ""item_category"": ""Chocolate & Sweet Spreads"",
  ""item_key"": ""2894f60b88078fb5b58fbf8dab0dbc63"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": 1.67,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2019-12-26 13:17:32.901"",
  ""weight_in_grams"": 52
}"
e16f280b891a7e233ff79353fba858dd,2894f60b88078fb5b58fbf8dab0dbc63,2023-12-20 02:58:34.081 Z,"{
  ""brand_name"": ""Ferrero"",
  ""item_category"": ""Chocolate & Sweet Spreads"",
  ""item_key"": ""2894f60b88078fb5b58fbf8dab0dbc63"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": -1.4586,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2019-12-26 13:17:32.901"",
  ""weight_in_grams"": 52
}"
ac1911983ebc58272586ea5b913624a4,9f8bd236cf455c9fa6a5fb11146b9368,2023-10-16 23:50:57.864 Z,"{
  ""brand_name"": null,
  ""item_category"": ""Toffee, Fudge & Nougat"",
  ""item_key"": ""9f8bd236cf455c9fa6a5fb11146b9368"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Muh Muhs Original Sahne Toffee, 215 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Muh Muhs Original cream toffee, 215 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": 2.29,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2020-09-22 04:34:56.480"",
  ""weight_in_grams"": 215
}"
5250bc21893540769eaa71e445940082,2894f60b88078fb5b58fbf8dab0dbc63,2023-11-24 13:37:14.081 Z,"{
  ""brand_name"": ""Ferrero"",
  ""item_category"": ""Chocolate & Sweet Spreads"",
  ""item_key"": ""2894f60b88078fb5b58fbf8dab0dbc63"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": 1.67,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2019-12-26 13:17:32.901"",
  ""weight_in_grams"": 52
}"
5250bc21893540769eaa71e445940082,2894f60b88078fb5b58fbf8dab0dbc63,2023-11-24 13:37:14.081 Z,"{
  ""brand_name"": ""Ferrero"",
  ""item_category"": ""Chocolate & Sweet Spreads"",
  ""item_key"": ""2894f60b88078fb5b58fbf8dab0dbc63"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": -1.46,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2019-12-26 13:17:32.901"",
  ""weight_in_grams"": 52
}"
d00d244d643aa09dd449a74be66cd130,9f8bd236cf455c9fa6a5fb11146b9368,2023-08-03 09:08:13.864 Z,"{
  ""brand_name"": null,
  ""item_category"": ""Toffee, Fudge & Nougat"",
  ""item_key"": ""9f8bd236cf455c9fa6a5fb11146b9368"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Muh Muhs Original Sahne Toffee, 215 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Muh Muhs Original cream toffee, 215 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": 2.23,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2020-09-22 04:34:56.480"",
  ""weight_in_grams"": 215
}"
15c616ed1309d143e282e604f40b7618,2894f60b88078fb5b58fbf8dab0dbc63,2023-10-29 10:15:54.081 Z,"{
  ""brand_name"": ""Ferrero"",
  ""item_category"": ""Chocolate & Sweet Spreads"",
  ""item_key"": ""2894f60b88078fb5b58fbf8dab0dbc63"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": 1.65,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2019-12-26 13:17:32.901"",
  ""weight_in_grams"": 52
}"
15c616ed1309d143e282e604f40b7618,2894f60b88078fb5b58fbf8dab0dbc63,2023-10-29 10:15:54.081 Z,"{
  ""brand_name"": ""Ferrero"",
  ""item_category"": ""Chocolate & Sweet Spreads"",
  ""item_key"": ""2894f60b88078fb5b58fbf8dab0dbc63"",
  ""name"": [
    {
      ""lang"": ""de"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    },
    {
      ""lang"": ""en"",
      ""value"": ""Ferrero Nutella & Go, 52 g""
    }
  ],
  ""number_of_units"": 1,
  ""price_attributes"": [
    {
      ""currency"": "" EUR"",
      ""product_base_price"": -1.48,
      ""vat_rate_in_percent"": 19
    }
  ],
  ""time_item_created_in_source_utc"": ""2019-12-26 13:17:32.901"",
  ""weight_in_grams"": 52
}"
